f,h,R_0,R_n,E_phi,E_psi,P,Q,N_0,N_n
[ 5 28],[32 16],84,38,[37 98],[46 30],[[32  6 70 18]; [24 50 12 34]],[[62 24 28 10]; [42 14 56 16]],[86 26 38 66],[ 6  6 90  0]
[73 10],[37 33],90,30,[16 64],[37 20],[[100   2 102   8]; [ 36  60  24  84]],[[ 36  22  88  64]; [100  96  64  56]],[26 88 56 40],[40 94 74 40]
[97 69],[69 79],44,58,[89 44],[33 96],[[68 26 28 26]; [54 16 18  0]],[[64 36 90 38]; [16 26 84 36]],[38 54 12 14],[100  38  50  28]
[43 64],[ 1 51],32,48,[74 42],[81 41],[[44 16 28 46]; [38 74 74 36]],[[70 32 66 76]; [56 66 54 92]],[94  2 54 76],[10 36 86 64]
[13 91],[60 35],50,2,[50 34],[ 0 62],[[18 16  0 54]; [88 30 98 14]],[[64 42 96 80]; [26 28 62 42]],[74 52 86 52],[ 80  26 102  16]
[48  5],[52 62],98,54,[73 58],[56 65],[[74 74 74 94]; [82 38 96 24]],[[22 78 76  0]; [88 46 24  2]],[54 50 52 48],[16 84 64 42]
[22 68],[18 41],82,58,[ 89 103],[68 58],[[ 72  94  94  10]; [ 96 104  74  70]],[[50 60 14 90]; [ 0 46 62 76]],[54 46 40 36],[ 2 28 14 16]
[85 90],[14 83],56,32,[ 77 104],[82 48],[[84 64 62 46]; [42 98 18 40]],[[20 38 38 76]; [30 74 34 84]],[72 92 70 24],[18  6 44 32]
[59 94],[35  0],4,2,[88 78],[102  56],[[ 84  20  40  80]; [102  92  36  72]],[[16 78 50 24]; [78 18 46 46]],[ 28 100  94  98],[66 52 74 74]
[36 16],[77 46],26,76,[96 87],[103  28],[[ 54  58  98  92]; [ 26  70 104  56]],[[ 44  94 104  76]; [ 34  44  26  14]],[100  24  82  18],[16 48 44 54]
[54  4],[41 56],22,30,[38 77],[49 53],[[74 80  8 70]; [66 34 82 32]],[[ 82  54 100  12]; [  4  56  64  52]],[20 62 92 42],[ 12  28 100   0]
[79 56],[92 33],40,2,[2 1],[75 67],[[ 58  54 102  34]; [ 14  42  88  64]],[[72 52 88  8]; [ 2 76 92 36]],[76 82 88 28],[38 58 46 66]
[28 88],[ 6 39],58,54,[101  89],[  9 101],[[70  0 32 52]; [14 52 98 76]],[[ 0 38 44 56]; [ 4 10 52 28]],[26 38 82 78],[34  6  2 36]
[91 85],[75 90],38,42,[14 17],[81 62],[[  8  26  54  54]; [ 30  38 104  50]],[[34 34 66 50]; [34 52 66 32]],[28 30 82 16],[94 16 72 12]
[13 26],[ 50 100],38,14,[88 65],[83 44],[[52 60 36  0]; [62 52 64 64]],[[44 70 42  0]; [ 6 96  4  4]],[94 62 40 42],[62 80 54 68]
[77 40],[50 26],20,4,[39 26],[69 52],[[ 16 100   2  92]; [ 14  58  34  42]],[[ 0 94 24  6]; [22  4 70  8]],[52 66 12 74],[32 92 24 34]
[98 33],[97 14],48,10,[75 22],[61 84],[[ 78  38  98  72]; [ 40 104  52  18]],[[ 24 100  20  40]; [ 32  20  70  32]],[62  0 90 80],[102  42   6  46]
[49 10],[62 16],36,14,[ 57 102],[71 44],[[ 56   2  74  74]; [ 22  98 102 102]],[[100  84  88 100]; [ 14 102  76   0]],[94 78 28 76],[18 64 88 28]
[48 85],[19 33],32,88,[102  23],[49  8],[[22 58  2 72]; [88 16 50 40]],[[ 38  30 104  78]; [ 60  48  22   4]],[ 68  60 104  40],[28 54  2 58]
[ 85 100],[70 90],96,34,[35 15],[ 4 91],[[26 80  2 98]; [82 68 44 26]],[[ 94  72  24  30]; [ 96  28 102   8]],[ 66  62  38 100],[52 40 36 56]
[22 86],[85 18],78,2,[100 104],[ 81 103],[[80 58 98 10]; [64 20 82 38]],[[ 0 18 16 16]; [74 46 12 52]],[60  8 18 42],[28 70 72 30]
[55 45],[90 19],72,54,[46 14],[63 55],[[68 88  6 56]; [44 38 54 14]],[[ 8 66 50  2]; [ 6 80 38 58]],[44 46 32 74],[ 30 102  82  10]
[66 19],[90 79],32,36,[ 27 103],[35 72],[[20 24 58 48]; [64 62 40 88]],[[52 82 88 12]; [80 44 26 42]],[ 16   6  14 104],[ 4 26 42 84]
[41 27],[79 12],62,14,[67 73],[ 99 100],[[22 82 66 82]; [ 0 74 94 26]],[[98  6  8 12]; [48 36 50 14]],[90 92 50 84],[46 28  8 36]
[101  18],[76 66],50,52,[5 7],[94 79],[[48 58 24  8]; [12 50 46  2]],[[ 0 88 24 58]; [12 98 94  8]],[72  2 32 50],[26 14 22 50]
[23 47],[87 83],80,4,[59 80],[5 1],[[82 10 38 44]; [36 66 64 12]],[[76 42 88 84]; [14 34 38 10]],[10 90 50 24],[44 40 90  4]
[52 63],[42 58],86,34,[70 61],[83  6],[[ 0  4 62 82]; [96 76  0 40]],[[44 92 48 50]; [72 84  0 78]],[90 64 38 60],[96  2  0 60]
[74 35],[ 9 78],14,92,[94 15],[56 55],[[90 68 46 80]; [14 66 54 86]],[[38 56 92 98]; [82 70  6 68]],[84 46 60 64],[88 36 38 92]
[ 5 21],[39 11],20,64,[51 45],[22 59],[[ 22 100  92   8]; [ 62 102  84   2]],[[76  0 54 62]; [96 36 88 96]],[50 52 12 42],[ 58   8  98 100]
[8 6],[79 42],22,90,[102  43],[60 87],[[100  80  30  56]; [ 32  68  76  28]],[[ 64  30  66  44]; [ 92  10 102  58]],[86 72  4 54],[ 2 18 20 90]
[3 2],[ 83 101],80,34,[48 68],[21 15],[[ 20   6  52  10]; [100 100  64  32]],[[ 60  44 100  92]; [ 60  16  36  72]],[52  2 70 34],[22 34 48  0]
[8 6],[95 26],62,80,[15  2],[42 73],[[ 98  98 102  16]; [ 24  98 100   2]],[[96 40 30 70]; [ 0 84 56 82]],[78  6  4 56],[  4  16  52 104]
[70 50],[72 43],30,74,[91 45],[81 93],[[46 62 84 28]; [22 10 86 96]],[[82 32 76  4]; [84 16 38 78]],[38 14 66 34],[ 22  94 100   2]
[94 33],[80 79],68,54,[41  5],[38 31],[[ 30  26  32  86]; [ 82 104  92  78]],[[ 52  58  70  92]; [ 30  10 104  74]],[82 92 86 72],[46 22 64 40]
[37 93],[88 85],26,72,[ 8 85],[68 18],[[ 44  60  96  10]; [ 90 100  10  30]],[[42 36 30 52]; [34  4 80 58]],[ 98 100   0  36],[74 18 24 54]
[96 90],[ 3 65],26,80,[50 15],[99 10],[[ 30  38  80 104]; [  8  14 102  72]],[[52 50 58 44]; [64 44  2 76]],[98  2 10 10],[104  22  46  54]
[27  2],[5 1],56,14,[73 27],[3 0],[[ 14 100  10  62]; [ 58   8  20  56]],[[24 26 12 46]; [94 72 60 40]],[92 36 92 62],[104  54  40  46]
[45 26],[60 93],78,18,[66 84],[56 29],[[ 50  70  44  70]; [ 32 104  66  46]],[[68 78 86 46]; [ 2 60 88 36]],[12 26 92  0],[80 24 74 26]
[49 86],[55  1],68,42,[63 34],[ 5 15],[[58 84 40 84]; [88 40 50  6]],[[ 6 62 68 16]; [42 84 92 86]],[64 24 22 62],[30 38  2 40]
[99 69],[82 96],28,90,[16 98],[33 61],[[24 80 80 92]; [86 40 78 48]],[[48 16 38 96]; [30 40 18 20]],[12 14 38 28],[28 62 84 54]
[54 29],[15 89],20,40,[67 74],[103  31],[[68 52 70 16]; [76 76 18  6]],[[56 12 86  8]; [60 58 12 40]],[74 92  0 16],[18 88  4 26]
[12 12],[80 81],52,40,[79 94],[22 22],[[ 8 22 86 54]; [40 90 40 88]],[[64 58 36 60]; [52  0 68 18]],[54 10 60 36],[80 80 50 72]
[46 77],[57 85],4,12,[33  9],[14 24],[[ 16  96  80   8]; [ 86  62 100  84]],[[36 22 32 44]; [20 76 98 94]],[ 4 94 56 32],[66 56 86 64]
[ 1 39],[47 35],34,20,[20 64],[ 5 53],[[44 18 92 78]; [90 94 18 92]],[[ 12  44  14  24]; [ 96  50  50 102]],[ 10 104  30   0],[68 54 12 48]
[51  6],[55 88],18,72,[55 88],[41 68],[[ 78  54  90  80]; [104  74  56   2]],[[64 88 98 48]; [20  4 24 48]],[16 82 28 10],[14 42 38 88]
[82 76],[66 88],82,12,[43 81],[99 51],[[ 88  80 100  56]; [104   8  68  70]],[[ 66  94 102  84]; [ 70 102   8  10]],[26 54 90 36],[62 10  8 58]
[18 70],[31 99],84,42,[101  71],[92 14],[[90 68 58 48]; [98 24  6 90]],[[ 24  60 104  82]; [ 82  98  90  82]],[100  78   4  76],[88 78 32 60]
[45 68],[94 83],98,14,[21 42],[75 27],[[58 56 86 48]; [84 44 20 96]],[[ 46  50  28 102]; [ 20  94  94  82]],[98 92 16 22],[38 62 94 78]
[49 44],[35 56],100,62,[64 52],[91 32],[[ 98 102  82  60]; [ 58  64   4  18]],[[56 52 20 48]; [90 56 60 50]],[84 78 70 82],[68 28 50 92]
[6 9],[64 57],58,38,[11 85],[61 66],[[34 78 32  4]; [12 38 82 32]],[[90 18 32 38]; [70 32 20 24]],[102  84  96  44],[74 82 24  8]
[91 67],[  3 104],66,50,[ 6 15],[71 82],[[22 94 64 98]; [60 66 74 34]],[[ 74 102  18  28]; [ 60  66  90  66]],[ 58  54 104  76],[28 50 94 92]
[33 59],[10  6],64,28,[45 71],[43 77],[[28 18 46 80]; [62 30 46  2]],[[50 62 92 48]; [58 64 38 24]],[88 26 52 20],[36 24 60 88]
[91 90],[90 84],80,64,[100  29],[37 70],[[64 72 66 24]; [ 0 10 82 74]],[[102  14  24   2]; [ 84   6  78  92]],[28 84 44 96],[54 82 22  0]
[49 30],[78 34],18,46,[  1 100],[89 11],[[22 56  4 16]; [ 2 60 76 12]],[[74 36 66 72]; [52 68 54 42]],[100   0  82  54],[50 82 48  2]
[18  8],[37 78],66,48,[ 77 100],[57 92],[[40 84 38 30]; [70 60 38 52]],[[84 58 32 56]; [46 16 36 96]],[62 96 38 72],[74  4 10 84]
[72 59],[15 46],102,38,[76 64],[93 57],[[80 64 84 38]; [ 4 58 86 62]],[[ 36  52  84 102]; [100  32  66   4]],[16 10 72 80],[42 86 22  8]
[35 85],[ 9 58],42,40,[10 83],[87 82],[[80 16 76 66]; [44 34 56 76]],[[ 30  16  66  90]; [ 52 100  70  34]],[12 88 20 78],[58 54 80 72]
[32 45],[ 8 87],26,18,[35  2],[78 51],[[78 12 58  6]; [ 0 22 74 70]],[[30 28 98 62]; [ 4 92  2  4]],[60 12 36  4],[52 84 48  0]
[16 93],[64 69],68,82,[  4 104],[31 34],[[ 0 94 60 32]; [34  2 78 40]],[[86 92 60 30]; [18 52 18 10]],[60 40  8 60],[40 42 12 40]
[32 90],[91 64],34,82,[92 33],[47 32],[[12 62 62 16]; [48 52 68 70]],[[20 82 62 62]; [52 72 86 76]],[86 36 34 78],[60  0  0  4]
[85 76],[79 72],92,60,[54 91],[99 62],[[28 44 90 18]; [40 60 96 68]],[[  4  58  98  54]; [ 16  60 104  16]],[82  2  8 74],[ 26  70  30 100]
[ 8 35],[83 45],62,82,[88 10],[68  8],[[48 98 34 26]; [88 88 26 58]],[[ 34  76  94  80]; [104 100 104  58]],[54 94 30 66],[48 68 82 86]
[ 9 40],[28 29],40,86,[10 59],[74 12],[[52 28 18 32]; [92 66 10 74]],[[ 42  94  52  80]; [  4  94  60 102]],[  2  42 102  10],[42  0 82 30]
[99 41],[ 80 104],26,20,[78 71],[45 51],[[68 88  6 22]; [10 42 46 88]],[[70 58 20 38]; [ 2 90 74 56]],[76 26  4 50],[66 10 80  4]
[91 78],[18  7],60,36,[13 40],[73 89],[[ 72  74  46  38]; [ 60 100  62  82]],[[78 34 52 40]; [34 12 56 62]],[  8 100  30   8],[56 80 60 16]
[71 53],[71 89],40,50,[ 7 84],[ 1 16],[[ 80  22 102  68]; [ 52  58  26  56]],[[ 12  54  54  22]; [ 72  48 102  28]],[22  0 92 94],[ 22  32  18 104]
[78  3],[78 84],76,80,[49  1],[35 15],[[72 96 10 30]; [26 94 88 32]],[[78 12  2 16]; [96 82 26 10]],[80 92 90 82],[46 10 80 78]
[14 84],[73 56],68,32,[101  67],[23 95],[[ 36  70  58  86]; [100   2  80  82]],[[ 46  46  54  98]; [ 92  70  18 102]],[76 52 84 96],[16 18 12 28]
[82 37],[75 21],62,58,[31 27],[64 72],[[56  2 18  6]; [70 62 14 50]],[[ 40  30  94  46]; [ 32 104  78  18]],[72 66 72 94],[22 18 30 74]
[49 90],[72 60],20,36,[68 87],[14 57],[[78 86 56 54]; [24 64 46 98]],[[78  0 20  2]; [86 14 34 44]],[100 102  32  68],[ 0 32  0 24]
[37 20],[79  9],58,10,[71 83],[45 77],[[104  46  88  44]; [ 50  32  18  88]],[[54 30 86 18]; [12 54 56 58]],[44 74 76 46],[ 6 18 36  0]
[59 48],[52 13],42,76,[61 38],[86 68],[[34 90 92 64]; [48 84 74 24]],[[46 30  2 88]; [36 32 70 68]],[62 82  8 68],[38 22 74 74]
[52  6],[20 80],40,100,[ 0 56],[45  8],[[36  6 52  0]; [16  2 10 90]],[[  0  66   6 100]; [ 10  50  54  22]],[ 2 62 58 32],[42 26 16 58]
[15 89],[103  66],32,102,[ 3 96],[49 85],[[ 16 104  32  36]; [ 30  58  92  44]],[[16 80  8 20]; [38  4 98 34]],[ 64  68 100  68],[22 68 42 74]
[37 35],[88 49],12,90,[72 61],[10 34],[[92  8 38 16]; [90  6 74  4]],[[42 78 98 76]; [ 4 64 62 18]],[42  4 54 28],[14 46 76 62]
[22 90],[92 64],64,54,[104   2],[20 27],[[ 22   4 102  48]; [ 70 102  52  92]],[[10 44 78  8]; [46  0 22 64]],[ 50 100  68  86],[70 94 46 62]
[69 87],[11 29],48,44,[84 66],[22 47],[[102  18 100   2]; [ 68  98  86  28]],[[52 20 14 96]; [42 58 20 24]],[34  2 86 96],[16 46 68 10]
[89 56],[58 59],60,16,[81 28],[37 51],[[14  0 86 84]; [72 82 22 84]],[[ 60 100  48  48]; [ 46  32  98  90]],[34 64 86  8],[40 18 64 74]
[85  6],[60 88],102,12,[93 64],[78 74],[[36 30 18 20]; [78 78 66 84]],[[ 98  50 102  14]; [ 48   0  64  82]],[ 44 102  68  86],[ 2 22  0 48]
[58 87],[70 37],86,38,[56 10],[104  68],[[44 14 88 70]; [22 44  0 94]],[[ 46  66 100  42]; [ 40  22  84  14]],[ 16  92  12 104],[94 58 72 44]
[ 7 21],[72 76],46,52,[73 42],[64 81],[[ 50 100  50  60]; [ 20  26  36  94]],[[64 34 62 62]; [98 74 18 56]],[28 62 42 86],[90 46 56 98]
[59 54],[48  1],20,76,[64 70],[61 10],[[14 30 10 92]; [92 14 20 98]],[[82 98 52 42]; [ 4 82 58 66]],[ 0 84 82 94],[74 34 98 24]
[28 47],[4 9],20,64,[92 38],[59 60],[[ 22  22  34  78]; [100  12  88  86]],[[ 64  10  88 102]; [ 12  56  88  46]],[84 12 48 60],[26  8 24 98]
[28 24],[64 49],86,46,[5 0],[39  1],[[96 30  6 78]; [80 94 12 98]],[[ 72 102  86  92]; [ 86  90   6  60]],[  6  24 100  14],[ 20  64 100  78]
[56 88],[63 31],56,10,[81 84],[50 94],[[32 68 44 42]; [26 28 94 38]],[[56 34 56 98]; [70 66 34 66]],[58 50 52 42],[104  42  54  74]
[86 15],[99 82],56,14,[40 54],[71 32],[[54 36 58 78]; [40 92 30 38]],[[72 64 28 36]; [ 4 96 98 10]],[104   4  90  52],[32 64 76 76]
[81 99],[  9 104],88,70,[33  5],[74 62],[[ 30  44  94  66]; [ 10   6  32 100]],[[ 0 68 84 64]; [96 60 66 86]],[46 34 32 28],[ 60 102  78  44]
[16 33],[82 56],52,20,[57 75],[15 93],[[78 28 94 36]; [72 50 56 82]],[[102   4  38  58]; [ 24  22  50  92]],[62 86  8 78],[64  2 30 14]
[83 94],[37 42],4,4,[88 38],[10 63],[[22 52  8 94]; [86  4 40 86]],[[ 80  16  86   2]; [ 16  70 102  30]],[ 32  58 100  10],[88 20 98 46]
[51 55],[77 71],20,16,[36 87],[66 30],[[76 76 92 24]; [34 34 76 30]],[[26 42 48 84]; [58 80 34 26]],[100  40  58 104],[  6  94  64 104]
[53 79],[33 91],40,18,[22 72],[42 37],[[  4  92  16  76]; [  4 104  96 102]],[[20 40 36  0]; [18 54 52 90]],[34 28 74 60],[84 94 94 14]
[28 64],[91 68],94,32,[91 54],[54 10],[[18 92 64 24]; [60 84  8 64]],[[ 88  88  48  88]; [100  60  98  68]],[60 16 16 36],[16  4 96 42]
[0 1],[ 5 58],4,76,[37 90],[49 93],[[30 50 34 58]; [ 0 96 98 50]],[[ 4 90 32 84]; [94 30 66 82]],[72 50 34 58],[62 90 38 84]
[94 51],[77 76],66,14,[49  3],[77  7],[[ 2 42 84 78]; [70  8 62 72]],[[84 58 32 18]; [66  6 90 56]],[32 22 12 86],[ 62 100  64  12]
[60  6],[29 38],28,20,[ 9 88],[11 52],[[ 4 44 12 42]; [82 14 92  8]],[[ 10   2  82  56]; [ 34 100  30  52]],[74 64 78 16],[80 46 40 76]
[15 30],[101  49],26,96,[ 75 100],[11 85],[[26 20 24 92]; [14 38  4 10]],[[14 50 96 46]; [36 70 42 22]],[76 56 94 90],[56 96  6 78]
[77 56],[ 56 100],92,36,[52 53],[20 96],[[70 42 24 20]; [54 28 66 58]],[[22 56 22 18]; [90 64 88 62]],[64 98 48 68],[24 40 50 50]
[33 72],[32 91],10,54,[71 92],[39 37],[[80 14 22 36]; [34 32 52 86]],[[ 94 100  56  90]; [ 32  48  46 102]],[ 6 54 18 14],[12 10 32  0]
[76 32],[85 60],20,50,[18 14],[43 51],[[  4  38 104  86]; [ 72  92 102   8]],[[56  6 42 26]; [76 94 16 64]],[ 68 100 100  70],[54 72 60  0]
[12 79],[55 86],60,102,[86 27],[ 7 51],[[ 48 104  22  24]; [ 50  14   2  92]],[[36 80 18 14]; [46 96 60 62]],[ 74  66 102  48],[86  8 76 46]
[92 39],[ 16 103],62,78,[87 49],[18 99],[[ 48  68 102  40]; [ 20  22   2  38]],[[42  8 80 36]; [32 72 24 96]],[48  8  0 52],[ 4 12 72 38]
[ 5 43],[27 79],46,66,[54 50],[83 31],[[72 78 72 18]; [76 78 74  6]],[[30 40 26 20]; [54 80 38 18]],[28 62  0 14],[ 6 34 22 50]
[21  4],[45 84],8,66,[58 59],[81 79],[[66 52 56 50]; [58 44 32 28]],[[96 88 80  6]; [64 82 16 92]],[ 4 70 52 40],[56 96 60 78]
[ 35 102],[69 69],62,68,[18  0],[22  6],[[14 38 86 80]; [64 42 36 18]],[[100  16  60  56]; [ 36  86  14  74]],[74 58 98 44],[16 90 92  6]
[23  2],[99 43],86,8,[31 35],[37 68],[[102  62  16   6]; [ 80   4  84  80]],[[50 28 54 22]; [30 54 12 78]],[90 82 46 54],[ 6 76 28 12]
[29 40],[ 8 36],20,34,[48 18],[90 41],[[ 72  80 100  68]; [ 62  78  28  42]],[[ 62  82  62   6]; [ 80 104  48  46]],[ 64  68 100  28],[100  46  68  56]
[78 86],[16 45],40,26,[52 64],[76 34],[[28 94  6 84]; [14  4 52 72]],[[84 60 56 82]; [48 14 16  6]],[ 90 104  34  92],[18 70 52  0]
[15 79],[55 92],72,44,[85 83],[78 31],[[ 36  12  10  56]; [  6  98 104  52]],[[ 90  78  76  28]; [ 98  96  32 102]],[24 52 98 44],[32 82 66 12]
[79 72],[71 47],24,6,[ 63 101],[ 78 104],[[ 62  24  18 102]; [ 36  74  80 100]],[[70  6 46 26]; [70 58 22 76]],[ 88   6  40 100],[102  30  66  86]
[93 45],[85 64],74,62,[90 88],[90 28],[[56 32 86 30]; [86 74 76 56]],[[10  2 42 96]; [56 78 48 62]],[94 52 76 98],[58 20 26 48]
[ 49 104],[21 67],32,32,[ 2 76],[71 46],[[ 6 84 48 20]; [88 86 38 82]],[[ 32  38 100  40]; [ 66   4  86  36]],[ 44  46  40 102],[92 80 86 34]
[11 44],[83 60],72,4,[91 13],[57 60],[[74  6 14 52]; [32 66 38 30]],[[70 64 58 42]; [48 16 96 90]],[100  36  16  10],[52 82 50 46]
[ 81 103],[10 72],6,98,[54 20],[ 7 63],[[ 4 36 56 92]; [82 44 40 28]],[[80 38  2 74]; [48 78 10  6]],[54 40 64 32],[80 84 30  6]
[ 7 92],[94 23],58,74,[32 48],[87 89],[[ 94  54   0  52]; [ 56 102  66  24]],[[42 52 98 60]; [10 30 60 50]],[ 66 102  12  48],[86 80  8 14]
[18 53],[62 61],100,78,[81 10],[12 35],[[10  0 86  6]; [64 10  0 92]],[[44  0 24 74]; [ 6 94 92 74]],[56  0  0 30],[56 34  0 16]
[64 26],[88 15],42,48,[77 47],[68  5],[[50 72 60 18]; [66 88 14  4]],[[92 16 14  2]; [26 64 48 42]],[ 48  82  50 102],[62 72 18  8]
[100  38],[59 75],96,38,[99 78],[50 40],[[ 56   6  10 104]; [ 92  82  58  84]],[[ 46  68  44  96]; [102  98  66  16]],[62 78 46 24],[90 52 52  4]
[31 76],[101 104],36,60,[103  62],[75 94],[[20 38 74 86]; [28 80 30 90]],[[60 16 20 92]; [76 56 74 10]],[96  8 54 14],[74 12 86 84]
[103  94],[66 35],30,40,[95 21],[99 60],[[ 0 98 44 88]; [52 14 24 68]],[[28 58 84 28]; [60  0 54 46]],[ 36   0  36 100],[102  62  70  10]
[59 21],[51 48],78,94,[66  7],[63 94],[[ 78  86  52   0]; [ 40  90  16 100]],[[76  4 56 18]; [36 56 86  6]],[60 72 74 74],[46 26 70 36]
[82 50],[34 43],8,84,[33 13],[44 79],[[36 42 66 78]; [94 96 20 44]],[[20  2 58 94]; [78 54 90 46]],[ 6 40 36  8],[26 24 96 12]
[46 48],[34 99],76,96,[68 79],[44 93],[[82 84 78 52]; [68 96 54 16]],[[ 22  52 104  74]; [ 68   2  46  90]],[28 72 36 10],[86 30 30 64]
[102  78],[93 49],26,64,[ 1 58],[93 11],[[ 30  64  22  70]; [ 36  30  58 102]],[[ 30  92 100  60]; [ 24  96  22  22]],[14 70 48 48],[42 98 92 76]
[29 79],[26 36],50,6,[29 15],[68 70],[[28 78 36 62]; [56 64 76 38]],[[ 6 72  2  8]; [52 62 54 12]],[94 70 92 46],[44 24 66 62]
[100   0],[5 1],36,40,[86 55],[15 48],[[52  2 46 98]; [36 14 26 40]],[[ 40  20 100  56]; [102  22  42  94]],[90  2 40 72],[86 72 58 24]
[41 89],[100  79],34,46,[86 51],[53 65],[[44 48 52 52]; [28 76 42 14]],[[ 18  12 104  98]; [ 86  34  56  44]],[ 8 20 68 30],[104  14   6  38]
[87 15],[95 50],10,26,[45 12],[29 79],[[ 82  32  98  78]; [104  96  36  24]],[[12 28 80 12]; [38 28 46 62]],[98 18 42 86],[92 40 28 60]
[89 95],[67 95],44,78,[55 64],[ 4 29],[[54 84 18 40]; [96  4 64 42]],[[100   2  74  96]; [ 54  28  44  84]],[82 46 48 20],[26 10 82 76]
[25 36],[ 9 80],14,56,[75 39],[92 18],[[92 44 54 48]; [30 54 30  2]],[[ 20 100  70  92]; [ 42  56  40  82]],[ 8 76 70 22],[94  0 16 52]
[99 33],[97 20],88,72,[66 52],[27  2],[[38 52 40 30]; [96 84 76 94]],[[ 96 102  54  60]; [ 90  98  18   6]],[104   8 104 104],[100  48 104  96]
[17  2],[81 68],36,84,[27 51],[10 48],[[84 68  6 54]; [80 34 62 34]],[[38 76 22 86]; [42  4 88 80]],[20 20 60 32],[10 64 26 92]
[31 87],[78 64],6,100,[61 77],[23 39],[[ 32 100  50  12]; [  2  44  70 104]],[[72 34 10 56]; [44  8 14 18]],[88 68 62  4],[ 4 70 82 88]
[20 23],[67 26],68,70,[50 16],[82 29],[[ 2  8  0 64]; [30 76 20 78]],[[68 88 66  2]; [28 26 76 56]],[60 20 62 98],[34 68  2 52]
[100  66],[ 6 54],96,58,[72 16],[85 87],[[104  76  48  34]; [ 92 102   4  96]],[[20 90 52 12]; [64 58 48 68]],[  6  38 102  84],[56 14 92 54]
[30 33],[55 45],26,86,[69 33],[ 81 101],[[ 78  96  62  62]; [102  58  56  72]],[[92 48  2 70]; [94 46 90 72]],[96 40 98 36],[22 14 70  2]
[66  2],[89 74],100,100,[25 59],[30 36],[[10 46 48 22]; [ 2 82 98 46]],[[52 14 54 86]; [54 22 96 60]],[40 28 74 86],[74 98 52 58]
[ 3 59],[11 50],28,34,[15 84],[10 34],[[50  6 54 42]; [20 46 50 62]],[[ 76  70  60   6]; [ 70   2  32 102]],[82 30 88 96],[34 56 38 46]
[67 39],[87 80],2,16,[20 64],[30 25],[[ 68 102  94  84]; [ 72 104  88  56]],[[58  2 46 44]; [72 68 26 96]],[44 10 24 58],[104  16  84  14]
[63 25],[92 43],50,16,[96 94],[ 81 101],[[56 68 12 12]; [28 74  2 62]],[[10  8 66 52]; [80 26 80 86]],[98 40 58 96],[ 8  4 32 76]
[99 63],[44 64],76,94,[94 82],[62 73],[[64 54 14 44]; [22 60 52 90]],[[60 78 46 72]; [20 72 14 70]],[32 18 66 64],[104  22  90  50]
[64  2],[83 62],74,36,[ 5 79],[15 19],[[86 40 84 36]; [78 12 38 82]],[[ 56  62   6 102]; [ 10  50  70  34]],[44 92 58  2],[28 48 46 14]
[ 5 61],[68 11],50,102,[ 9 59],[48 87],[[68 94 30  0]; [28 50 96 80]],[[26  2 80 86]; [46 98 26 34]],[70 44 92 46],[22 16  6 78]
[ 8 83],[99 42],28,52,[94 39],[58 43],[[94 48 24 44]; [20 40 24 30]],[[  0   2   2  38]; [ 16 104   2  92]],[90 46 62  4],[  6   0 100  40]
[34 77],[77 56],48,70,[102  92],[ 2 44],[[ 0 70  6 66]; [36 90 70 48]],[[84 36 50 58]; [98 40 20  8]],[12 62 68 56],[16 10 26  6]
[51 11],[77 25],74,70,[104  50],[45 79],[[24 96  2 60]; [30 96 66 26]],[[34 78 16 34]; [60 62 50 92]],[12 96 28 96],[52 54 98  6]
[29 65],[70 33],20,72,[72 23],[73 46],[[30 16  2 48]; [48 18 24 22]],[[ 12  58  18  26]; [ 94 100  28  32]],[86 14 92  0],[42 14 34 62]
[64 61],[97 11],76,92,[96 67],[32 19],[[ 40  32  34 104]; [ 94  54  52  68]],[[34 42 62 60]; [26 46 46 92]],[76 22 60 62],[96 84 44  4]
[86 92],[94 25],32,6,[93  9],[69 88],[[ 0 44 86 74]; [68 86 40 76]],[[20 58 66 12]; [ 8 80 14 58]],[48 62 42 52],[74 76 70  2]
[ 9 28],[65 48],56,52,[38  8],[39  1],[[92 62 78 96]; [30 84 12 74]],[[ 8 46 24  6]; [90 98 64 84]],[84 82 10 36],[60  6 50 78]
[53 51],[35  8],36,2,[76 74],[96 62],[[16 50 58 80]; [52 96 86 58]],[[48 84 36 76]; [56 12 80 54]],[ 2 28 24 66],[52  6 56 82]
[34 14],[97 98],42,36,[45 11],[55  5],[[ 92  32  18  44]; [102  24  68  30]],[[50 50 50 90]; [58 94  4 88]],[62 66 40 36],[102  62  60  42]
[37  5],[ 11 101],34,76,[74 80],[72  2],[[34 24 74  0]; [84 40 96 22]],[[ 26  84  60 102]; [ 94  40  18  46]],[ 46  58 100  46],[74 24 52 72]
[89 48],[13 51],32,68,[39 54],[45 81],[[62 48 40 58]; [30 94 86 16]],[[ 26  24  46  82]; [ 16  26  96 100]],[54 56 36 50],[48 12 48 14]
[36 91],[ 39 102],36,22,[ 6 55],[19 45],[[18 24 66 24]; [16 78 38 80]],[[ 14  40  66  88]; [100  76  84  88]],[26 28 96 94],[54 60 16 80]
[23 95],[15 29],10,40,[18 23],[18 69],[[  2   8   6  12]; [ 30  68  64 104]],[[64 82 30 70]; [96 68 18 98]],[28 36 76 54],[100  30 100  20]
[ 32 103],[44 55],6,74,[30  5],[37  9],[[12 52 82 48]; [16 20 40 86]],[[60  0 28 18]; [22 48 64 12]],[80 90 24 46],[96 22 50 86]
